,uuid,timestamp_prod_start,prod_plt_temp,timestamp_prod_end
68,6aa246cf-623c-44dd-a66c-3189998fe868,2022-01-27 11:09:06.143943,99.05,2022-01-27 11:09:16.193650
69,0eaa997c-8216-4d02-b21b-9678cfb95079,2022-01-27 11:10:43.973611,99.21,2022-01-27 11:10:54.023318
70,9f134d11-e0bc-474c-b4c7-c7f6b724d459,2022-01-27 11:12:21.805170,99.12,2022-01-27 11:12:31.854877
71,d3720596-f58a-4a6d-9a73-acd568e3bcfd,2022-01-27 11:13:59.310786,99.12,2022-01-27 11:14:09.360493
72,24d1b843-aeef-449c-8917-cea862ce8bfa,2022-01-27 14:20:55.780487,20.75,2022-01-27 14:21:05.830194
73,282d3e87-ee2d-4b1f-bf03-2efbb36ad53f,2022-01-27 14:23:57.551921,20.71,2022-01-27 14:24:07.601628
74,4a8cfc6b-9315-405b-820f-e82a427ed563,2022-01-27 14:28:15.829619,20.75,2022-01-27 14:28:25.879326
75,1f7d2da2-135a-4352-a2ce-2f18a6564a0c,2022-01-27 14:30:42.385958,20.68,2022-01-27 14:30:52.435665
76,059d30e5-aa67-418c-9726-cb81b94d68c4,2022-01-27 14:34:39.663944,20.67,2022-01-27 14:34:49.713651
77,f5ff4284-22b2-47ac-82c3-c1b0c7074b57,2022-01-27 14:36:45.902804,20.64,2022-01-27 14:36:55.952511
78,58e57f13-f040-4e71-8de2-9afc026881be,2022-01-27 14:38:54.781638,20.72,2022-01-27 14:39:04.831345
79,fb392a77-9a63-4819-8d50-5ae0a72244f3,2022-01-27 14:40:34.029156,20.66,2022-01-27 14:40:44.078863
80,cc171ea1-755f-452b-97bc-6bceae82ce17,2022-01-27 14:43:54.285086,20.7,2022-01-27 14:44:04.334793
81,13bb5261-00e5-4bfd-9366-aba16c8c2250,2022-01-27 14:45:29.442614,20.64,2022-01-27 14:45:39.492321
82,797d8f26-92aa-4d56-a82b-88ceb90108e4,2022-01-27 15:48:37.956860,20.56,2022-01-27 15:48:48.006567
83,8e8295e0-9e9b-40c0-b6f2-d132840f4fa4,2022-01-27 15:50:28.908083,23.51,2022-01-27 15:50:38.957790
84,3e230896-3687-4420-918f-f23360a9ae58,2022-01-27 15:52:21.671282,23.64,2022-01-27 15:52:31.720989
85,35d8da6d-3547-4e51-a4fc-6476f9622ca6,2022-01-27 15:54:01.114743,23.32,2022-01-27 15:54:11.164450
86,bdd017c1-b452-453b-b924-ac9509a39f3a,2022-01-31 09:39:06.856042,1.73,2022-01-31 09:39:16.905749
87,b2ee8ce1-7558-4e74-857b-1bf9d518329c,2022-01-31 09:40:46.798061,69.14,2022-01-31 09:40:56.847768
88,180a79df-046f-46b5-a561-609bceb3bed7,2022-01-31 09:47:45.057266,70.05,2022-01-31 09:47:55.106973
89,d5f72431-1548-4c12-99b3-b039a2d3b325,2022-01-31 09:50:21.791731,69.74,2022-01-31 09:50:31.841438
90,94557b60-9a94-4095-899e-21d40a407efb,2022-01-31 09:55:12.737310,70.82,2022-01-31 09:55:22.787017
91,9df9a681-9d14-44b3-a343-72f563f794ce,2022-01-31 09:57:19.864374,70.87,2022-01-31 09:57:29.914081
92,b15a0a9b-6ecd-41e4-83d4-fd35054584f2,2022-01-31 09:59:00.877943,105.81,2022-01-31 09:59:10.927650
93,916ad6f6-4baa-4ada-9bed-6a9c2803a00e,2022-01-31 10:02:19.479123,108.59,2022-01-31 10:02:29.528830
94,22c49e3d-e393-45f6-bc7b-8f36ef8b74dd,2022-01-31 10:04:01.278650,108.71,2022-01-31 10:04:11.328357
95,f71e9a93-ac0d-434f-a441-a9e596ea003b,2022-01-31 10:08:31.098173,107.85,2022-01-31 10:08:41.147880
96,fb47918b-2aa8-45ab-9aba-6272919166b4,2022-01-31 10:10:12.859781,109.35,2022-01-31 10:10:22.909488
97,06ae6402-73ec-4154-8565-64236e937506,2022-01-31 10:17:42.417362,107.78,2022-01-31 10:17:52.467069
98,a699ff6b-f8d1-4ef1-b5ae-74d34f85b4ff,2022-01-31 10:19:24.890947,108.78,2022-01-31 10:19:34.940654
99,f191ecbb-cb4c-4c83-ab8b-53ee264f21c8,2022-01-31 10:58:12.391428,106.89,2022-01-31 10:58:22.441135
100,fe4d6a9e-c0ed-471b-9e9f-8483cca080ee,2022-01-31 10:59:55.095019,96.59,2022-01-31 11:00:05.144726
101,b6259f7c-f4ce-4be2-b202-2972289e5720,2022-01-31 11:01:36.402748,88.13,2022-01-31 11:01:46.452455
